公开号,申请号,标题,申请日,公开日,授权公告日,国际分类,国际主分类,美国分类,美国主分类,权利要求数,申请人,标准化申请人,发明人,第一发明人,本文引用专利数,引用本文专利数,本文自引用专利数,本文非自引用专利数,自引用本文专利数,非自引用本文专利数,法律状态,同族专利数,技术特征
"KR20200018376A","KR1020197016719A","Systems and methods for bypassing harvesting in cultivation pods","20180523","20200219",,"","","A01G9/24 | A01G31/045 | A01G7/00 | A01G9/143 | B61B13/00 | G05B19/042 | G05B19/4189 | G05D1/0027 | G06Q50/02","A01G9","20","그로우 솔루션즈 테크, 엘엘씨","그로우 솔루션즈 테크, 엘엘씨","개리 브렛 밀라 | 마크 제럴드 스탓 | 마이클 스티븐 허스트 | 테일러 존 우드버리","개리 브렛 밀라","0","0","0","0","0","0","其他","492","15",
"CN111367287A","CN202010194587.X","通过引导协助操作的自动驾驶车辆","20160513","20200703",,"G05D  1/02","G05D","G05D1/0027 | G05D1/0234 | G05D2201/0213 | G06Q10/047 | G06Q10/0833 | B60W30/00 | G05D1/0295 | G05D1/12 | G01C21/3438","G05D1","15","UATC有限责任公司","uatc有限责任公司","W·罗斯 | J·巴雷斯 | D·拉罗斯 | M·斯威尼","W·罗斯","0","0","0","0","0","0","公开","40","11",
"KR20200018378A","KR1020197017006A","Systems and methods of using water as ballast in assembly line cultivation pods","20180522","20200219",,"","","A01G9/247 | A01G31/042 | A01G31/06 | A01G7/00 | G05B19/042 | G05D1/0027","A01G9","20","그로우 솔루션즈 테크, 엘엘씨","그로우 솔루션즈 테크, 엘엘씨","개리 브렛 밀러","개리 브렛 밀러","0","0","0","0","0","0","其他","18","21",
"CN105701361A","CN201610129869.5","用于自主移动机器人的监测、诊断和跟踪工具","20120921","20160622","20181113","G06F 19/00 | G06Q 10/06 | G06Q 10/08","G06F","G05D1/0287 | G06Q10/0639 | G05B19/41895 | G05B23/0272 | G05D1/0027 | G06F17/00 | G06F19/00 | G06Q10/08 | G16H40/20","G05D1","30","阿索恩公司","阿索恩公司","D·G·沃尔夫 | G·F·卢卡斯 | M·斯旺尼","D·G·沃尔夫","8","1","1","7","0","1","有效","17","18",
"CN110741226A","CN201880030299.1","自动驾驶车辆增强系统的行动装置","20180508","20200131",,"G01C 21/34 | B60W 30/06 | G06Q 50/30 | G08G  1/00","G01C","G06F15/76 | G06N5/02 | G06Q10/02 | G06Q10/06311 | G06Q50/30 | G07C5/008 | G08G1/202 | H04L63/08 | H04L63/083 | H04N7/188 | H04W4/44 | H04W4/90 | H04W12/00514 | H04W12/06 | G01C21/3438 | G01C21/3492 | G05D1/0022 | G05D1/0027 | G05D1/0055 | G05D1/0088 | G05D1/0212 | G05D1/0276 | G05D1/0291 | G05D1/0297 | G05D2201/0212 | G05D2201/0213 | G06F3/0481 | G06F3/0488 | G06K9/00832 | G06N5/003 | G06N5/022 | G06N20/00 | G08G1/012 | G08G1/0175 | G10L15/22 | G10L2015/223","G06F15","14","阿诺·查斯 | 威廉·查斯","阿诺·查斯 | 威廉·查斯","阿诺·查斯 | 威廉·查斯","阿诺·查斯","0","0","0","0","0","0","公开","16","23",
"US10162350B2","US14/482975","Systems and methods for controlling the transportation of vehicles","20140910","20181225","20181225","G05D  1/00 | A63G 25/00 | G05D  1/02","G05D","G05D1/0027 | A63G25/00 | G05D1/0297 | G05D2201/0214","G05D1","24","Universal City Studios LLC","concast","Kawash; Sameer | Kiddoo; Michael R. | Parr; Eric","Kawash","16","0","1","15","0","0","有效","15","22",
"CN105377385A","CN201480026897.3","无轨车辆和用于无轨车辆同步控制的系统","20140314","20160302","20190222","A63G 21/00 | A63G 31/00","A63G","A63G25/00 | A63G31/00 | G05D1/0027 | G05D1/0297 | G05D2201/0212","A63G25","27","国际海洋工程公司","海洋工程国际公司","A·S·格兰特 | M·W·伯舍尔斯","A·S·格兰特","5","1","0","5","0","1","有效","16","10",
"CN106125094A","CN201610425288.6","高空长航时无人驾驶飞机及其操作方法","20101217","20161116","20200110","G01S 19/11 | B64C 39/02 | G01S 19/21 | G05D  1/00","G01S","B64C39/024 | B64C2201/122 | B64C2201/145 | G01S19/11 | G01S19/21 | G05D1/0022 | G05D1/0027 | H04B7/18504 | B64D43/00 | B64D47/00 | G01C21/00 | G05D1/104","B64C39","12","威罗门飞行公司","威罗门飞行公司","爱德华·奥斯卡·里奥斯","爱德华·奥斯卡·里奥斯","13","0","6","7","0","0","有效","15","12",
"US8874360B2","US13/724414","Autonomous vehicle and method for coordinating the paths of multiple autonomous vehicles","20121221","20141028","20141028","G05D  1/10 | G08G  1/16 | G08G  5/00 | G08G  5/04","G05D","G08G   9/02 | G05D   1/0027 | G05D   1/10 | G05D   1/104 | G08G   1/162 | G08G   1/163 | G08G   5/0004 | G08G   5/0008 | G08G   5/0021 | G08G   5/003 | G08G   5/0069 | G08G   5/04 | G08G   5/045 | G08G   5/065","G08G","30","Proxy Technologies Inc.","proxy technologies","Klinger; John Solomon | Davis; Robert F.","Klinger","37","26","0","37","2","24","有效","18","6",
"US7885732B2","US11/764119","Systems and methods for haptics-enabled teleoperation of vehicles and other devices","20070615","20110208","20110208","G05D  1/00","G05D","G05D   1/0033 | G05D   1/0027 | G05D   1/005","G05D","25","The Boeing Company","the boeing","Troy; James J. | Erignac; Charles A. | Murray; Paul","Troy","52","28","10","42","2","26","有效","14","7",
"CN109996732A","CN201780068721.8","可互换地将工具系统与无人驾驶交通工具耦合的系统和方法","20170908","20190709",,"B64F  1/12 | B64C 39/02","B64F","B64C39/024 | B64C2201/027 | B64C2201/108 | B64C2201/126 | B64C2201/128 | B64C2201/145 | B64D1/10 | B64D1/22 | G05D1/0027 | B64C2201/165 | B64F1/12 | G05D1/104","B64C39","16","沃尔玛阿波罗有限责任公司","沃尔玛阿波罗有限责任公司","R.L.肯特雷尔 | J.P.汤普森 | D.C.温克尔 | M.D.阿奇利 | D.R.海 | T.D.马廷利 | B.G.麦克黑尔 | J.J.奥布里恩 | J.F.西蒙 | N.G.琼斯 | R.C.泰勒","R.L.肯特雷尔","0","0","0","0","0","0","撤回","13","21",
"US7813888","US11/459617","Autonomous vehicle rapid development testbed systems and methods","20060724","20101012","20101012","G06F 19/00 | G06F 17/40 | G05D  1/00","G06F","F41G   7/303 | G05D   1/0027 | G05D   1/0033","F41G","35","The Boeing Company","the boeing","Vian; John L. | Provine; Ronald C. | Bieniawski; Stefan R. | Saad; Emad W. | Pigg; Paul E. R. | Clark; Gregory J. | Mansouri; Ali R. | Abdel-Motagaly; Khaled | Erignac; Charles A. | Troy; James J. | Murray; Paul | How; Jonathan P. | Valenti; Mario J. | Bethke; Brett M.","Vian","61","80","10","51","18","62","有效","14","12",
"CN109071017A","CN201780023184.5","充气式运载飞行器和递送产品时分散无人飞行器系统的方法","20170207","20181221",,"B64D  1/10 | B64C 39/02 | B64D  1/00 | B64D  1/02 | B64D  1/08 | B64D  1/12","B64D","B64B1/06 | B64C39/024 | B64C2201/082 | B64C2201/128 | B64C2201/146 | B64C2201/206 | B64D5/00 | G06Q10/0833 | B64B1/00 | B64C39/02 | B64D1/02 | B64D1/08 | B64D1/10 | B64D1/12 | B64B1/02 | G05D1/0027 | G08G5/0034 | G08G5/0069","B64B1","18","沃尔玛阿波罗有限责任公司","沃尔玛阿波罗有限责任公司","D.R.海 | D.C.科克斯","D.R.海","0","0","0","0","0","0","公开","12","23",
"US9311760B2","US14/709360","Unmanned aerial vehicle authorization and geofence envelope determination","20150511","20160412","20160412","G07C  5/02 | G05D  1/00 | H04W 12/06 | B64C 39/02 | H04W  4/02 | H04W 48/02 | G05D  1/02 | G08G  5/00 | G07C  5/00 | G07C  5/08","G07C","G08G   5/0039 | B64C  39/024 | B64C2201/141 | B64C2201/146 | G01S   1/00 | G01S  19/14 | G05D   1/0011 | G05D   1/0022 | G05D   1/0027 | G05D   1/0202 | G05D   1/101 | G06F  19/00 | G07C   5/004 | G07C   5/008 | G07C   5/02 | G07C   5/0808 | G07C   5/0816 | G08G   5/0026 | G08G   5/0056 | G08G   5/006 | G08G   5/0069 | G08G   5/0091 | H04W   4/021 | H04W   4/046 | H04W  12/06 | H04W  48/02","G08G","25","UNMANNED INNOVATION, INC.","unmanned innovation","Downey; Jonathan | Michini; Bernard J. | Moster; Joseph | Weigel; Donald Curry | Ogden; James","Downey","122","34","0","122","8","26","有效","12","23",
"CN1934562A","CN200480042484.0","用于交通工具的控制系统","20040325","20070321","20101006","G06F 17/00 | B64C 13/20 | B64C 39/02 | G05D  1/02","G06F","B64C39/024 | B64C13/20 | B64C2201/021 | B64C2201/086 | B64C2201/108 | B64C2201/141 | B64C2201/165 | B64C2201/187 | B64C2201/205 | G05D1/0027 | G05D1/0684","B64C39","34","贝尔直升机泰克斯特龙公司","德事隆公司","肯尼斯·E·布伊尔塔 | 詹姆斯·E·哈里斯 | 布赖恩·P·霍恩扎 | 杰弗里·W·埃普 | 凯尼·J·舒尔特","肯尼斯·E·布伊尔塔","7","14","0","7","0","14","有效","12","16",
"CN107567606A","CN201680011237.7","用于交通工具的引导系统及自动控制","20160217","20180109",,"G05D  1/10 | G01S 19/49 | G08G  5/00","G05D","B64C2201/14 | G01S5/02 | G01S5/0263 | G01S19/49 | G05D1/104 | G08G5/0013 | G08G5/0069 | G08G5/0082 | B64C39/024 | G05D1/0027 | G08G5/0034 | G08G5/0039 | B64C2201/143","B64C2201","14","弗朗西斯科·瑞奇","弗朗西斯科·瑞奇","弗朗西斯科·瑞奇","弗朗西斯科·瑞奇","4","0","0","4","0","0","公开","11","64",
"CN110023864A","CN201780069376.X","通过在无人驾驶交通工具之间互换工具系统的地理区域监测系统和方法","20170908","20190716",,"G05D  1/00","G05D","B64C39/024 | B64C2201/027 | B64C2201/126 | B64C2201/146 | G05D1/104 | G06Q10/06311 | G07C5/008 | G05D1/0027 | G05D1/0094 | G05D1/0246 | G08G5/0008 | G08G5/0013","B64C39","16","沃尔玛阿波罗有限责任公司","沃尔玛阿波罗有限责任公司","R.L.肯特雷尔 | J.P.汤普森 | D.C.温克尔 | M.D.阿奇利 | D.R.海 | T.D.马廷利 | B.G.麦克黑尔 | J.J.奥布里恩 | J.F.西蒙 | N.G.琼斯 | R.C.泰勒","R.L.肯特雷尔","0","0","0","0","0","0","撤回","11","15",
"JP2016053916A","JP2014180464A","Transport vehicle and travel control device thereof","20140904","20160414",,"G05D  1/02","G05D","G05D   1/0223 | G05D   1/0027 | G05D   1/0274 | G05D   1/0278 | G05D   1/0291 | G05D   1/0297 | G05D2201/021","G05D","7","Hitachi Constr Mach Co Ltd | 日立建機株式会社","hitachi","Mikio Bando | Shinjiro Saito | Ko Tanaka | Masanori Ichinose | 幹雄 板東 | 真二郎 齋藤 | 航 田中 | 一野瀬　昌則","Mikio Bando","2","0","0","2","0","0","其他","11","23",
"CN106030432A","CN201480075514.1","用于启动远程操作模式的布置","20140214","20161012","20200407","G05D  1/02 | E21B 44/00","G05D","E21B7/022 | E21B44/00 | G05D1/0027 | G05D2201/021 | E21C29/22 | E21C35/24 | G05D1/0282 | G05D1/0297","E21B7","48","山特维克矿山工程机械有限公司","山特维克公司","塞米·汉斯基 | 彼得里·努尔米宁 | 亚尔科·沃蒂拉 | 劳索·库米尼 | 彼得里·曼诺宁 | 阿托·西伦","塞米·汉斯基","4","0","0","4","0","0","有效","11","9",
"CN109641155A","CN201780017979.5","骑乘者控制的无轨骑乘系统","20170330","20190416",,"A63G 25/00 | A63G 31/00 | G05D  1/00 | G05D  3/00 | G05D  3/12","A63G","A63G25/00 | G05D1/0011 | G05D1/0027 | G05D1/0212 | G05D1/028 | G05D1/0287","A63G25","20","国际海洋工程公司","海洋工程国际公司","迈克尔·罗素 | 迈克尔·波希尔 | 劳伦·艾特","迈克尔·罗素","0","0","0","0","0","0","公开","11","25",
